cell_id,x,y,sample_id,condition,genotype,cell_type,niche_k12,niche_k8,niche_k10
output-XETG00045__0059976__litt_24h__20250725__091031_aaglkfjo-1,825.5759887695312,4176.12255859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aagohain-1,827.0913696289062,4208.1064453125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Hair Follicle Keratinocyte (stem cell),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahcplah-1,798.9548950195312,4197.69921875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahdieej-1,808.7803955078125,4184.46435546875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Capillary Endothelial Cell,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahebdkd-1,852.833984375,4229.8642578125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Wound-Associated Macrophage,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahefhnl-1,804.7535400390625,4224.984375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahehggc-1,895.1612548828125,4225.27880859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahekkoo-1,763.5747680664062,4190.04638671875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahfahpi-1,765.8132934570312,4236.60400390625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Monocytic MDSC (Ccr2+),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aahffbhf-1,766.3623046875,4175.9990234375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,IL33+ Inflammatory Fibroblast,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaicigjn-1,881.523681640625,4207.18017578125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaieodal-1,852.7634887695312,4045.625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaifdakh-1,870.5739135742188,4013.261474609375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaijmomn-1,870.3524169921875,3987.634033203125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aaimcohf-1,806.680419921875,4151.0458984375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aajckoij-1,729.8211059570312,4085.444580078125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Activated Endothelial Cell,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aajljjlj-1,783.5891723632812,4051.375244140625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,IFNγ-Conditioned Macrophage,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aakcbgjh-1,778.6102905273438,3528.825439453125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,3,1,5
