,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
11820,Hnf1b,Oprl1_cre_vs_C57_wt,0.14566036535811056,0.1060767365042101,0.26768462052829634,0.368256041621585,0.22259567626347443,2,3,pseudobulk_mean
11821,Ccl17,Oprl1_cre_vs_C57_wt,-0.7149083081935959,0.10609821219188682,0.26768462052829634,2.341413708390543,3.0563220165841387,2,3,pseudobulk_mean
11822,Kif1b,Oprl1_cre_vs_C57_wt,0.6505698872468626,0.10610018402766551,0.26768462052829634,7.886281828251953,7.23571194100509,2,3,pseudobulk_mean
11823,Erap1,Oprl1_cre_vs_C57_wt,1.4456306430907295,0.10611899427510085,0.26768462052829634,7.853439367885233,6.407808724794504,2,3,pseudobulk_mean
11824,Hdac5,Oprl1_cre_vs_C57_wt,0.6861553440526258,0.10625714965396268,0.2678866092378664,7.534646509768098,6.848491165715473,2,3,pseudobulk_mean
11825,Ncor1,Oprl1_cre_vs_C57_wt,-0.27117145377131635,0.10631411625595048,0.2678866092378664,9.228597969125266,9.499769422896582,2,3,pseudobulk_mean
11826,Gsta1,Oprl1_cre_vs_C57_wt,-1.0016707998984984,0.10636195125597493,0.2678866092378664,7.564840029751444,8.566510829649943,2,3,pseudobulk_mean
11827,Fen1,Oprl1_cre_vs_C57_wt,-0.7260123554101607,0.1064396451220638,0.267945514812379,6.0503344422355685,6.776346797645729,2,3,pseudobulk_mean
11828,Xiap,Oprl1_cre_vs_C57_wt,0.5440168200675943,0.1065905028214182,0.268188445140682,7.071462256295236,6.527445436227642,2,3,pseudobulk_mean
11829,Adgrf1,Oprl1_cre_vs_C57_wt,1.0481168645281569,0.10670613349803029,0.2683246380584696,1.995002654990629,0.946885790462472,2,3,pseudobulk_mean
11830,Klf11,Oprl1_cre_vs_C57_wt,-0.3317203669310791,0.10676167466373561,0.2683246380584696,5.720158761355211,6.0518791282862905,2,3,pseudobulk_mean
11831,Memo1,Oprl1_cre_vs_C57_wt,0.41429604684816645,0.10680778053239447,0.2683246380584696,7.093771386632069,6.679475339783902,2,3,pseudobulk_mean
11832,Nlrc4,Oprl1_cre_vs_C57_wt,-0.9609716080712896,0.1068686575796592,0.2683409447827168,1.768049655468661,2.7290212635399507,2,3,pseudobulk_mean
11833,Crybb3,Oprl1_cre_vs_C57_wt,2.00260145299462,0.10697221105449226,0.26840112809891753,3.6358577144642217,1.6332562614696016,2,3,pseudobulk_mean
11834,Bcar1,Oprl1_cre_vs_C57_wt,-0.30192932746959933,0.10705008582588497,0.26840112809891753,8.450642398674084,8.752571726143684,2,3,pseudobulk_mean
11835,Igf1r,Oprl1_cre_vs_C57_wt,0.5358889478610802,0.10705582085502019,0.26840112809891753,7.899956217188511,7.364067269327431,2,3,pseudobulk_mean
11836,Flt3l,Oprl1_cre_vs_C57_wt,0.9368685674235864,0.10715916180004652,0.2684314428887922,4.6683164808115905,3.731447913388004,2,3,pseudobulk_mean
11837,Wfdc18,Oprl1_cre_vs_C57_wt,3.4924201416889344,0.10717672121826524,0.2684314428887922,5.469141637025693,1.976721495336759,2,3,pseudobulk_mean
11838,Usp54,Oprl1_cre_vs_C57_wt,0.42063583467333565,0.10738100823603658,0.26877587117912566,6.441522070806149,6.020886236132814,2,3,pseudobulk_mean
11839,Chrnb1,Oprl1_cre_vs_C57_wt,0.7307271004176514,0.1074231896970482,0.26877587117912566,3.5927607505833716,2.86203365016572,2,3,pseudobulk_mean
11840,Chek2,Oprl1_cre_vs_C57_wt,-0.29223739979188856,0.10753446316835617,0.2687986677893354,6.3266761639581,6.618913563749989,2,3,pseudobulk_mean
11841,Tert,Oprl1_cre_vs_C57_wt,0.7270620425053602,0.1075582328544001,0.2687986677893354,3.3644047858899095,2.6373427433845493,2,3,pseudobulk_mean
11842,Mef2d,Oprl1_cre_vs_C57_wt,-1.2460553762392266,0.10759573751194516,0.2687986677893354,7.392566129372179,8.638621505611406,2,3,pseudobulk_mean
11843,Hspa1b,Oprl1_cre_vs_C57_wt,1.48740522835526,0.1076512185695206,0.268801170254056,9.320933369736046,7.8335281413807865,2,3,pseudobulk_mean
11844,Egln2,Oprl1_cre_vs_C57_wt,-0.6108293161590277,0.1077863789249522,0.2690025258551918,6.870662259825961,7.481491575984989,2,3,pseudobulk_mean
11845,Mlycd,Oprl1_cre_vs_C57_wt,0.273683861562529,0.1081569712110142,0.26979094841008294,5.135003020789846,4.861319159227317,2,3,pseudobulk_mean
11846,Pja1,Oprl1_cre_vs_C57_wt,0.5026835511195964,0.10835074329403471,0.27013772987001883,8.123024245355584,7.6203406942359875,2,3,pseudobulk_mean
