,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
17030,Cldn16,cre_72h_vs_litt_72h,0.7904337160134994,0.42264973081037427,0.8932751903536521,0.7904337160134994,0.0,3,3,pseudobulk_mean
17031,Mas1,cre_72h_vs_litt_72h,0.7904337160134994,0.42264973081037427,0.8932751903536521,0.7904337160134994,0.0,3,3,pseudobulk_mean
17032,Pcdha2,cre_72h_vs_litt_72h,0.7904337160134994,0.42264973081037427,0.8932751903536521,0.7904337160134994,0.0,3,3,pseudobulk_mean
17033,Epo,cre_72h_vs_litt_72h,0.6230571582256036,0.42264973081037427,0.8932751903536521,0.6230571582256036,0.0,3,3,pseudobulk_mean
17034,Nr0b2,cre_72h_vs_litt_72h,0.6230571582256036,0.42264973081037427,0.8932751903536521,0.6230571582256036,0.0,3,3,pseudobulk_mean
17035,Opalin,cre_72h_vs_litt_72h,0.6230571582256036,0.42264973081037427,0.8932751903536521,0.6230571582256036,0.0,3,3,pseudobulk_mean
17036,Adcyap1,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17037,Crisp1,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17038,Elavl4,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17039,Gnat3,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17040,Il4,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17041,Nox1,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17042,Nxph2,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
17043,Prl7a1,cre_72h_vs_litt_72h,0.5420743868010806,0.42264973081037427,0.8932751903536521,0.5420743868010806,0.0,3,3,pseudobulk_mean
