,comparison,gene,logfoldchange,pval,pval_adj
12426,litt_24h_vs_wt_24h,Primpol,0.017731685,0.9977204244373137,1.0
12427,litt_24h_vs_wt_24h,Polk,0.07670324,0.997739285109602,1.0
12428,litt_24h_vs_wt_24h,Tbx4,0.22192448,0.9978824547987705,1.0
12429,litt_24h_vs_wt_24h,Bmpr1b,0.22192448,0.9978824547987705,1.0
12430,litt_24h_vs_wt_24h,Unc5c,0.22192448,0.9978824547987705,1.0
12431,litt_24h_vs_wt_24h,Cspg5,0.22192448,0.9978824547987705,1.0
12432,litt_24h_vs_wt_24h,Npr1,0.10402325,0.9978841694062487,1.0
12433,litt_24h_vs_wt_24h,Mrtfa,0.051946122,0.9978867413174844,1.0
12434,litt_24h_vs_wt_24h,Kcnq3,0.051946122,0.9978867413174844,1.0
12435,litt_24h_vs_wt_24h,Sorcs3,0.051946122,0.9978867413174844,1.0
12436,litt_24h_vs_wt_24h,Sidt1,0.051946122,0.9978867413174844,1.0
12437,litt_24h_vs_wt_24h,Sox8,0.051946122,0.9978867413174844,1.0
12438,litt_24h_vs_wt_24h,Onecut1,0.051946122,0.9978867413174844,1.0
12439,litt_24h_vs_wt_24h,Rad21l,0.051946122,0.9978867413174844,1.0
12440,litt_24h_vs_wt_24h,Fgf4,0.051946122,0.9978867413174844,1.0
12441,litt_24h_vs_wt_24h,Krt2,0.051946122,0.9978867413174844,1.0
12442,litt_24h_vs_wt_24h,Wdr34,0.051946122,0.9978867413174844,1.0
12443,litt_24h_vs_wt_24h,Cd226,0.051946122,0.9978867413174844,1.0
12444,litt_24h_vs_wt_24h,Ucp1,0.051946122,0.9978867413174844,1.0
12445,litt_24h_vs_wt_24h,Htr2a,0.01130076,0.998369403685338,1.0
12446,litt_24h_vs_wt_24h,Kcnj8,-0.066784516,0.9983934082251096,1.0
12447,litt_24h_vs_wt_24h,Cntn3,0.025946314,0.9985357208828878,1.0
12448,litt_24h_vs_wt_24h,Adad1,0.025946314,0.9985357208828878,1.0
12449,litt_24h_vs_wt_24h,Prss21,0.025946314,0.9985357208828878,1.0
12450,litt_24h_vs_wt_24h,Crx,0.025946314,0.9985357208828878,1.0
12451,litt_24h_vs_wt_24h,Grm6,-0.16678132,0.998545151241424,1.0
12452,litt_24h_vs_wt_24h,Topbp1,0.041086365,0.9987028954496835,1.0
12453,litt_24h_vs_wt_24h,Limk1,0.0046335706,0.9988520666498902,1.0
12454,litt_24h_vs_wt_24h,Kctd15,0.0061343983,0.999018384012135,1.0
12455,litt_24h_vs_wt_24h,Hoxc8,0.110884115,0.999176985660295,1.0
12456,litt_24h_vs_wt_24h,Rasd1,0.0112948995,0.9991847014170315,1.0
12457,litt_24h_vs_wt_24h,Adgrf1,0.0112948995,0.9991847014170315,1.0
12458,litt_24h_vs_wt_24h,Rgmb,-0.008640385,0.9992464274736086,1.0
12459,litt_24h_vs_wt_24h,Ace2,0.011318341,0.9993175839055134,1.0
12460,litt_24h_vs_wt_24h,Elk1,0.029961973,0.999472756383501,1.0
12461,litt_24h_vs_wt_24h,Pou6f1,0.0018939428,0.999501047500594,1.0
12462,litt_24h_vs_wt_24h,Hoxa5,0.0018915522,0.9998336824905625,1.0
12463,litt_24h_vs_wt_24h,Adprhl1,-0.04120629,0.9998388263309895,1.0
12464,litt_24h_vs_wt_24h,Cyp2c29,0.0,1.0,1.0
12465,litt_24h_vs_wt_24h,Crtc1,0.0,1.0,1.0
12466,litt_24h_vs_wt_24h,Slc13a4,0.0,1.0,1.0
12467,litt_24h_vs_wt_24h,Plxna1,0.04835317,0.9997865306203311,1.0
12468,litt_24h_vs_wt_24h,Sardh,0.052006904,0.9997136595496804,1.0
12469,litt_24h_vs_wt_24h,Tgfb1i1,0.036875516,0.9997042291759931,1.0
12470,litt_24h_vs_wt_24h,Pla2g2f,0.12007153,0.999560201656501,1.0
12471,litt_24h_vs_wt_24h,Edil3,0.06578697,0.9995284813117078,1.0
12472,litt_24h_vs_wt_24h,A2m,0.06578697,0.9995284813117078,1.0
12473,litt_24h_vs_wt_24h,Prm1,-0.04118284,0.9993510188573533,1.0
12474,litt_24h_vs_wt_24h,Neurod2,-0.04118284,0.9993510188573533,1.0
12475,litt_24h_vs_wt_24h,Bco1,-0.04118284,0.9993510188573533,1.0
12476,litt_24h_vs_wt_24h,Slc25a31,-0.04118284,0.9993510188573533,1.0
12477,litt_24h_vs_wt_24h,Fgb,-0.04118284,0.9993510188573533,1.0
12478,litt_24h_vs_wt_24h,Mip,-0.04118284,0.9993510188573533,1.0
12479,litt_24h_vs_wt_24h,Dydc2,-0.04118284,0.9993510188573533,1.0
12480,litt_24h_vs_wt_24h,Marco,-0.04118284,0.9993510188573533,1.0
